Update,Episode,Reward
1,1,-21
1,2,-21
1,3,-21
1,4,-21
1,5,-21
1,6,-20
1,7,-21
1,8,-21
1,9,-21
1,10,-21
1,11,-21
1,12,-19
1,13,-21
1,14,-21
1,15,-21
2,1,-21
2,2,-19
2,3,-18
2,4,-21
2,5,-20
2,6,-21
2,7,-21
2,8,-20
2,9,-20
2,10,-19
2,11,-20
2,12,-21
2,13,-21
2,14,-21
2,15,-21
3,1,-21
3,2,-21
3,3,-20
3,4,-21
3,5,-20
3,6,-19
3,7,-20
3,8,-20
3,9,-21
3,10,-21
3,11,-21
3,12,-20
3,13,-21
3,14,-21
3,15,-21
4,1,-21
4,2,-20
4,3,-21
4,4,-20
4,5,-20
4,6,-21
4,7,-21
4,8,-17
4,9,-20
4,10,-19
4,11,-21
4,12,-21
4,13,-18
4,14,-20
4,15,-20
5,1,-19
5,2,-21
5,3,-20
5,4,-20
5,5,-20
5,6,-21
5,7,-21
5,8,-21
5,9,-21
5,10,-21
5,11,-21
5,12,-21
5,13,-21
5,14,-21
5,15,-21
6,1,-20
6,2,-21
6,3,-21
6,4,-19
6,5,-21
6,6,-20
6,7,-21
6,8,-20
6,9,-21
6,10,-21
6,11,-20
6,12,-21
6,13,-19
6,14,-21
6,15,-20
7,1,-20
7,2,-21
7,3,-19
7,4,-21
7,5,-21
7,6,-21
7,7,-19
7,8,-20
7,9,-21
7,10,-21
7,11,-21
7,12,-20
7,13,-21
7,14,-21
7,15,-20
8,1,-19
8,2,-20
8,3,-21
8,4,-20
8,5,-21
8,6,-21
8,7,-20
8,8,-21
8,9,-20
8,10,-21
8,11,-21
8,12,-20
8,13,-17
8,14,-21
8,15,-21
9,1,-20
9,2,-21
9,3,-21
9,4,-21
9,5,-21
9,6,-21
9,7,-20
9,8,-18
9,9,-20
9,10,-20
9,11,-20
9,12,-21
9,13,-20
9,14,-18
9,15,-21
10,1,-18
10,2,-21
10,3,-21
10,4,-19
10,5,-20
10,6,-20
10,7,-20
10,8,-20
10,9,-21
10,10,-21
10,11,-20
10,12,-19
10,13,-21
10,14,-21
10,15,-21
11,1,-18
11,2,-17
11,3,-21
11,4,-18
11,5,-21
11,6,-20
11,7,-21
11,8,-21
11,9,-20
11,10,-20
11,11,-19
11,12,-20
11,13,-20
11,14,-20
11,15,-19
12,1,-20
12,2,-19
12,3,-21
12,4,-21
12,5,-20
12,6,-21
12,7,-20
12,8,-18
12,9,-20
12,10,-20
12,11,-20
12,12,-19
12,13,-21
12,14,-20
12,15,-19
13,1,-21
13,2,-20
13,3,-20
13,4,-21
13,5,-19
13,6,-20
13,7,-21
13,8,-20
13,9,-21
13,10,-21
13,11,-21
13,12,-20
13,13,-19
13,14,-20
13,15,-20
14,1,-19
14,2,-18
14,3,-19
14,4,-19
14,5,-21
